שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2021,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אדמית,1068,ADAMIT,2,הצפון,24,עכו,244,4,מועצה אזורית מטה אשר,,1,265,265,231,0,1958,330,15,2198477600,448,201,10004302,2021,Adamit,212
אדרת,1123,ADDERET,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,444,1,922,922,920,0,1961,310,1,1995861868,429,151,15000597,2021,Adderet,
אודים,446,UDIM,4,המרכז,41,השרון,411,19,מועצה אזורית חוף השרון,141,1,1405,1405,1372,0,1948,310,10,1858168580,11,401,15000060,2021,Udim,
אודם,4010,ODEM,2,הצפון,29,גולן,292,71,מועצה אזורית גולן,,1,176,176,165,0,1976,320,6,2702878880,1049,219,10004579,2021,Odem,211
אוהד,1046,OHAD,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,412,394,392,18,1969,310,1,1458057199,131,651,10001893,2021,Ohad,620
אום אל-פחם,2710,UMM AL-FAHM,3,חיפה,32,חדרה,323,0,עירייה,,2,57676,50,22,57626,,250,,2145071403,310,354,10004249,2021,Umm al-Fahm,
אום אל-קוטוף,2024,UMM AL-QUTUF,3,חיפה,32,חדרה,323,14,מועצה אזורית מנשה,,2,1169,1,0,1168,,450,,2055370835,140,351,10004233,2021,Umm Al-Qutuf,
אום בטין,1358,UMM BATIN,6,הדרום,62,באר שבע,623,69,מועצה אזורית אל קסום,342,2,4705,20,13,4685,,290,,1886757656,329,624,10001937,2021,Umm Batin,610
אומן,1108,OMEN,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,1,559,559,524,0,1958,350,,2230271879,65,204,10004394,2021,Omen,213
אומץ,680,OMEZ,4,המרכז,41,השרון,412,16,מועצה אזורית עמק חפר,141,1,824,823,805,1,1949,310,1,1996769744,33,409,15000060,2021,Omez,
אופקים,31,OFAQIM,6,הדרום,62,באר שבע,622,0,עירייה,,1,33999,33767,31524,232,1955,160,,1637757969,142,601,10001893,2021,Ofaqim,620
אור הגנוז,1294,OR HAGANUZ,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,600,600,600,0,1989,320,11,2421276783,731,209,10004528,2021,Or HaGanuz,211
אור הנר,67,OR HANER,6,הדרום,61,אשקלון,614,37,מועצה אזורית שער הנגב,,1,808,808,787,0,1957,330,15,1620260736,55,651,10001829,2021,Or HaNer,620
אור יהודה,2400,OR YEHUDA,5,תל אביב,52,תל אביב,512,0,עירייה,122,1,36814,36740,35859,74,1950,160,,1863465962,29,510,10001516,2021,Or Yehuda,
אור עקיבא,1020,OR AQIVA,3,חיפה,32,חדרה,324,0,עירייה,,1,19904,19798,18108,106,1951,170,,1927171271,15,353,10004261,2021,Or Aqiva,
אורה,780,ORA,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,1298,1288,1243,10,1950,310,1,2145862906,800,151,10002521,2021,Ora,
אורון,1771,,6,הדרום,62,באר שבע,626,48,מועצה אזורית רמת נגב,,,,,,,,520,,2014453557,356,620,10001918,2021,,610
אורות,2012,OROT,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,143,1,472,472,467,0,1952,310,1,1749262782,51,616,10001821,2021,Orot,420
אורטל,4013,ORTAL,2,הצפון,29,גולן,292,71,מועצה אזורית גולן,,1,369,369,369,0,1978,330,15,2712077699,885,219,10004579,2021,Ortal,211
אורים,403,URIM,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,504,503,476,1,1946,330,15,1545457936,95,651,10001893,2021,Urim,620
אורנים,882,ORANIM,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,1,61,61,61,0,1951,340,,2104973529,75,301,10004207,2021,Oranim,310
אורנית,3760,ORANIT,7,אזור יהודה ושומרון,73,טול כרם,,99,מועצה מקומית,145,1,9113,9096,8959,17,1985,180,,1995367087,125,718,15004488,2021,Oranit,710
אושה,278,USHA,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,1,589,589,574,0,1937,330,15,2110474462,31,301,10004207,2021,Usha,310
אזור,565,AZOR,5,תל אביב,53,תל אביב,513,99,מועצה מקומית,123,1,13473,13434,12547,39,1948,170,,1819465899,26,509,10001430,2021,Azor,
"אזור אילון מ""א 4",1852,,2,הצפון,24,עכו,244,4,מועצה אזורית מטה אשר,,,,,,,,530,,2196077510,,,,2021,,212
"אזור אילון מ""א 52",1851,,2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,,,,,,,530,,2266077360,,,,2021,,212
"אזור אילון של""ש",1853,,2,הצפון,24,עכו,244,,חסר מעמד מוניציפלי,,,,,,,,530,,2314076950,,,,2021,,
"אזור אשדוד מ""א 29",1922,,6,הדרום,61,אשקלון,613,29,מועצה אזורית חבל יבנה,,,,,,,,530,,1726063970,,,,2021,,420
"אזור אשדוד מ""א 33",1921,,6,הדרום,61,אשקלון,613,33,מועצה אזורית באר טוביה,,,,,,,,530,,1649062930,,,,2021,,420
"אזור אשדוד של""ש",1923,,6,הדרום,61,אשקלון,613,,חסר מעמד מוניציפלי,,,,,,,,530,,1681064050,,,,2021,,
"אזור אשקלון מ""א 36",1924,,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,,,,,,,530,,1663061620,,,,2021,,620
"אזור אשקלון מ""א 37",1926,,6,הדרום,61,אשקלון,614,37,מועצה אזורית שער הנגב,,,,,,,,530,,1637060210,,,,2021,,620
"אזור באר שבע מ""א 41",1937,,6,הדרום,62,באר שבע,623,41,מועצה אזורית בני שמעון,,,,,,,,530,,1807058120,,,,2021,,620
"אזור באר שבע מ""א 51",1938,,6,הדרום,62,באר שבע,623,51,מועצה אזורית תמר,,,,,,,,530,,2240057100,,,,2021,,
"אזור באר שבע של""ש",1939,,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,,,,,,,530,,1974056740,,,,2021,,
"אזור בשור מ""א 38",1933,,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,,,,,,,530,,1457057060,,,,2021,,620
"אזור בשור מ""א 39",1935,,6,הדרום,62,באר שבע,622,39,מועצה אזורית שדות נגב,,,,,,,,530,,1505059540,,,,2021,,620
"אזור בשור מ""א 42",1934,,6,הדרום,62,באר שבע,622,42,מועצה אזורית מרחבים,,,,,,,,530,,1608057600,,,,2021,,620
"אזור גלילות מ""א 19",1907,,5,תל אביב,51,תל אביב,511,19,מועצה אזורית חוף השרון,,,,,,,,530,,,,,,2021,,
"אזור גרר מ""א 39",1931,,6,הדרום,62,באר שבע,621,39,מועצה אזורית שדות נגב,,,,,,,,530,,1572058820,,,,2021,,620
"אזור גרר מ""א 41",1929,,6,הדרום,62,באר שבע,621,41,מועצה אזורית בני שמעון,,,,,,,,530,,1725058920,,,,2021,,620
"אזור גרר מ""א 42",1930,,6,הדרום,62,באר שבע,621,42,מועצה אזורית מרחבים,,,,,,,,530,,1679059410,,,,2021,,620
"אזור זכרון יעקב מ""א 15",1866,,3,חיפה,32,חדרה,322,15,מועצה אזורית חוף הכרמל,,,,,,,,530,,2001072840,,,,2021,,
"אזור זכרון יעקב של""ש",1867,,3,חיפה,32,חדרה,322,,חסר מעמד מוניציפלי,,,,,,,,530,,2040072880,,,,2021,,
"אזור חדרה מ""א 14",1873,,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,,,,,,,530,,2012070620,,,,2021,,
"אזור חדרה מ""א 15",1872,,3,חיפה,32,חדרה,324,15,מועצה אזורית חוף הכרמל,,,,,,,,530,,1932070920,,,,2021,,
"אזור חדרה מ""א 45",1871,,3,חיפה,32,חדרה,324,45,מועצה אזורית אלונה,,,,,,,,530,,1999071630,,,,2021,,
"אזור חדרה של""ש",1874,,3,חיפה,32,חדרה,324,,חסר מעמד מוניציפלי,,,,,,,,530,,2029069980,,,,2021,,
"אזור חולון של""ש",1909,,5,תל אביב,53,תל אביב,513,,חסר מעמד מוניציפלי,,,,,,,,530,,1817066000,,,,2021,,
"אזור חיפה מ""א 12",1860,,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,,,,,,,,530,,2104074200,,,,2021,,
"אזור חיפה של""ש",1862,,3,חיפה,31,חיפה,311,,חסר מעמד מוניציפלי,,,,,,,,530,,2088073220,,,,2021,,
"אזור חצור מ""א 1",1813,,2,הצפון,21,צפת,213,1,מועצה אזורית הגליל העליון,,,,,,,,530,,2545075990,,,,2021,,211
"אזור חצור מ""א 55",1814,,2,הצפון,21,צפת,213,55,מועצה אזורית מבואות החרמון,,,,,,,,530,,2584076640,,,,2021,,211
"אזור חצור של""ש",1815,,2,הצפון,21,צפת,213,,חסר מעמד מוניציפלי,,,,,,,,530,,2549076740,,,,2021,,
"אזור יחיעם מ""א 2",1848,,2,הצפון,24,עכו,243,2,מועצה אזורית מרום הגליל,,,,,,,,530,,2386075990,,,,2021,,211
"אזור יחיעם מ""א 4",1846,,2,הצפון,24,עכו,243,4,מועצה אזורית מטה אשר,,,,,,,,530,,2180076770,,,,2021,,212
"אזור יחיעם מ""א 52",1847,,2,הצפון,24,עכו,243,52,מועצה אזורית מעלה יוסף,,,,,,,,530,,2283076610,,,,2021,,212
"אזור יחיעם מ""א 56",1849,,2,הצפון,24,עכו,243,56,מועצה אזורית משגב,,,,,,,,530,,2214075970,,,,2021,,210
"אזור יחיעם של""ש",1850,,2,הצפון,24,עכו,243,,חסר מעמד מוניציפלי,,,,,,,,530,,2325076540,,,,2021,,
"אזור ים המלח מ""א 51",1942,,6,הדרום,62,באר שבע,624,51,מועצה אזורית תמר,,,,,,,,530,,2340056200,,,,2021,,
"אזור יקנעם מ""א 13",1836,,2,הצפון,23,יזרעאל,235,13,מועצה אזורית מגידו,,,,,,,,530,,2121072800,,,,2021,,213
"אזור יקנעם מ""א 9",1835,,2,הצפון,23,יזרעאל,235,9,מועצה אזורית עמק יזרעאל,,,,,,,,530,,2115073310,,,,2021,,213
"אזור כינרות מ""א 3",1805,,2,הצפון,22,כנרת,221,3,מועצה אזורית הגליל התחתון,,,,,,,,530,,2481074680,,,,2021,,214
"אזור כנרות מ""א 1",1816,,2,הצפון,22,כנרת,221,1,מועצה אזורית הגליל העליון,,,,,,,,530,,2528075660,,,,2021,,211
"אזור כנרות מ""א 6",1817,,2,הצפון,22,כנרת,221,6,מועצה אזורית עמק הירדן,,,,,,,,530,,2610074110,,,,2021,,214
"אזור כנרות של""ש",1818,,2,הצפון,22,כנרת,221,,חסר מעמד מוניציפלי,,,,,,,,530,,,,,,2021,,
"אזור כרמיאל מ""א 2",1843,,2,הצפון,24,עכו,242,2,מועצה אזורית מרום הגליל,,,,,,,,530,,2339075980,,,,2021,,211
"אזור כרמיאל מ""א 56",1844,,2,הצפון,24,עכו,242,56,מועצה אזורית משגב,,,,,,,,530,,2327075530,,,,2021,,210
"אזור כרמיאל של""ש",1845,,2,הצפון,24,עכו,242,,חסר מעמד מוניציפלי,,,,,,,,530,,2369075930,,,,2021,,
"אזור לכיש מ""א 34",1919,,6,הדרום,61,אשקלון,612,34,מועצה אזורית שפיר,,,,,,,,530,,1769061100,,,,2021,,
"אזור לכיש מ""א 35",1917,,6,הדרום,61,אשקלון,612,35,מועצה אזורית יואב,,,,,,,,530,,1870061370,,,,2021,,420
"אזור לכיש מ""א 41",1920,,6,הדרום,61,אשקלון,612,41,מועצה אזורית בני שמעון,,,,,,,,530,,1888059260,,,,2021,,620
"אזור לכיש מ""א 50",1918,,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,,,,,,,530,,1836060440,,,,2021,,
"אזור מודיעין מ""א 25",1887,,4,המרכז,43,רמלה,431,25,מועצה אזורית חבל מודיעין,,,,,,,,530,,2311074610,,,,2021,,
"אזור מודיעין מ""א 30",1890,,4,המרכז,43,רמלה,431,30,מועצה אזורית גזר,,,,,,,,530,,2010069770,,,,2021,,
"אזור מודיעין של""ש",1895,,4,המרכז,43,רמלה,431,,חסר מעמד מוניציפלי,,,,,,,,530,,1833067310,,,,2021,,
"אזור מלאכי מ""א 33",1911,,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,,,,,,,,530,,1755063200,,,,2021,,420
